Sepal_Length	Sepal_Width	Petal_Length	Petal_Width	Species
6.1	2.8	4	1.3	2
6.4	2.8	5.6	2.2	3
5.1	3.5	1.4	0.3	1
5	3.4	1.6	0.4	1
7.2	3.2	6	1.8	3
4.4	3.2	1.3	0.2	1
6.3	2.3	4.4	1.3	2
6.3	3.4	5.6	2.4	3
5.8	2.8	5.1	2.4	3
6.7	3.3	5.7	2.5	3
7.7	3	6.1	2.3	3
5.9	3	4.2	1.5	2
5	3.5	1.3	0.3	1
5	3.3	1.4	0.2	1
6.9	3.1	4.9	1.5	2
6.8	2.8	4.8	1.4	2
4.6	3.4	1.4	0.3	1
7.2	3.6	6.1	2.5	3
4.7	3.2	1.6	0.2	1
5.8	4	1.2	0.2	1
5.4	3.9	1.3	0.4	1
6	2.9	4.5	1.5	2
5.7	2.5	5	2	3
7.7	2.8	6.7	2	3
6.3	2.5	4.9	1.5	2
5.1	3.8	1.6	0.2	1
6.3	3.3	4.7	1.6	2
5.5	2.4	3.8	1.1	2
5.7	4.4	1.5	0.4	1
4.8	3.4	1.6	0.2	1
6.1	2.6	5.6	1.4	3
7.1	3	5.9	2.1	3
5.8	2.7	5.1	1.9	3
6.9	3.1	5.4	2.1	3
6	2.7	5.1	1.6	2
7.6	3	6.6	2.1	3
6	3.4	4.5	1.6	2
6.1	3	4.9	1.8	3
6.7	3.1	4.4	1.4	2
4.5	2.3	1.3	0.3	1
4.4	2.9	1.4	0.2	1
6.1	2.8	4.7	1.2	2
5.6	2.9	3.6	1.3	2
5.2	4.1	1.5	0.1	1
6.9	3.1	5.1	2.3	3
5.1	3.4	1.5	0.2	1
5	3.6	1.4	0.2	1
5	3.5	1.6	0.6	1
5.4	3.7	1.5	0.2	1
4.6	3.1	1.5	0.2	1
